"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 05 11:59:51 UTC 2024","Fri Apr 05 11:59:57 UTC 2024","6803","","Support","","Support","Should submit support request","Should submit support request",""
"passed","Fri Apr 05 11:59:33 UTC 2024","Fri Apr 05 11:59:35 UTC 2024","2086","","Map","","Map","Should load map","Should load map",""
"passed","Fri Apr 05 11:59:44 UTC 2024","Fri Apr 05 11:59:47 UTC 2024","2649","","Signup","","Signup","Should signup","Should signup",""
"passed","Fri Apr 05 11:59:16 UTC 2024","Fri Apr 05 11:59:26 UTC 2024","10254","","About","","About","Should switch location","Should switch location",""
"passed","Fri Apr 05 11:59:37 UTC 2024","Fri Apr 05 11:59:39 UTC 2024","2396","","Schedule","","Schedule","Should switch to favorites","Should switch to favorites",""
"passed","Fri Apr 05 11:59:39 UTC 2024","Fri Apr 05 11:59:41 UTC 2024","1831","","Session Detail","","Session Detail","Should load first session","Should load first session",""
"passed","Fri Apr 05 12:00:08 UTC 2024","Fri Apr 05 12:00:11 UTC 2024","2816","","Tutorial","","Tutorial","Should skip to schedule","Should skip to schedule",""
"passed","Fri Apr 05 11:59:49 UTC 2024","Fri Apr 05 11:59:51 UTC 2024","1719","","Speaker List","","Speaker List","Should load speakers","Should load speakers",""
"passed","Fri Apr 05 11:59:31 UTC 2024","Fri Apr 05 11:59:33 UTC 2024","2077","","Login","","Login","Should login","Should login",""
"passed","Fri Apr 05 11:59:57 UTC 2024","Fri Apr 05 11:59:59 UTC 2024","1656","","Tutorial","","Tutorial","Should load swiper","Should load swiper",""
"passed","Fri Apr 05 11:59:26 UTC 2024","Fri Apr 05 11:59:31 UTC 2024","4744","","Account","","Account","Should open change username alert","Should open change username alert",""
"passed","Fri Apr 05 11:59:41 UTC 2024","Fri Apr 05 11:59:44 UTC 2024","2932","","Session Detail","","Session Detail","Should favorite session","Should favorite session",""
"passed","Fri Apr 05 11:59:35 UTC 2024","Fri Apr 05 11:59:37 UTC 2024","2218","","Schedule Filter","","Schedule Filter","Should load filters","Should load filters",""
"passed","Fri Apr 05 11:59:47 UTC 2024","Fri Apr 05 11:59:49 UTC 2024","2108","","Speaker Detail","","Speaker Detail","Should load speaker","Should load speaker",""
"passed","Fri Apr 05 11:59:59 UTC 2024","Fri Apr 05 12:00:08 UTC 2024","8940","","Tutorial","","Tutorial","Should get to schedule","Should get to schedule",""
